INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-09-05T20:00:00-00:00,2022-09-05T21:00:00-00:00,0,2022-09-05,14,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1310,ACTUAL,1
2022-09-05T07:00:00-00:00,2022-09-05T08:00:00-00:00,0,2022-09-05,1,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,894,ACTUAL,1
2022-09-06T03:00:00-00:00,2022-09-06T04:00:00-00:00,0,2022-09-05,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1260,ACTUAL,1
2022-09-05T21:00:00-00:00,2022-09-05T22:00:00-00:00,0,2022-09-05,15,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1357,ACTUAL,1
2022-09-05T19:00:00-00:00,2022-09-05T20:00:00-00:00,0,2022-09-05,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1265,ACTUAL,1
2022-09-06T04:00:00-00:00,2022-09-06T05:00:00-00:00,0,2022-09-05,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1141,ACTUAL,1
2022-09-05T23:00:00-00:00,2022-09-06T00:00:00-00:00,0,2022-09-05,17,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1444,ACTUAL,1
2022-09-05T18:00:00-00:00,2022-09-05T19:00:00-00:00,0,2022-09-05,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1221,ACTUAL,1
2022-09-05T13:00:00-00:00,2022-09-05T14:00:00-00:00,0,2022-09-05,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,897,ACTUAL,1
2022-09-05T12:00:00-00:00,2022-09-05T13:00:00-00:00,0,2022-09-05,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,866,ACTUAL,1
2022-09-05T09:00:00-00:00,2022-09-05T10:00:00-00:00,0,2022-09-05,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,832,ACTUAL,1
2022-09-05T14:00:00-00:00,2022-09-05T15:00:00-00:00,0,2022-09-05,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,957,ACTUAL,1
2022-09-06T05:00:00-00:00,2022-09-06T06:00:00-00:00,0,2022-09-05,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1020,ACTUAL,1
2022-09-06T02:00:00-00:00,2022-09-06T03:00:00-00:00,0,2022-09-05,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1340,ACTUAL,1
2022-09-06T06:00:00-00:00,2022-09-06T07:00:00-00:00,0,2022-09-05,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,924,ACTUAL,1
