INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1485.25,DAM,1
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1283.23,DAM,1
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1165.04,DAM,1
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1502.01,DAM,1
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1429.81,DAM,1
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1048.97,DAM,1
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1349.72,DAM,1
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6074.15,DAM,3
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7066.14,DAM,3
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6471.61,DAM,3
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5099.09,DAM,3
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7104.66,DAM,3
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5558.11,DAM,3
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6734.34,DAM,3
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2825.51,DAM,4
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2186.19,DAM,4
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2484.29,DAM,4
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3094.9,DAM,4
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3651.68,DAM,4
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3802.69,DAM,4
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3381.77,DAM,4
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,474,DAM,5
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,425.77,DAM,5
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,580.67,DAM,5
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,570.43,DAM,5
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,380.74,DAM,5
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,511.52,DAM,5
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,542.99,DAM,5
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,143.85,DAM,6
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,222.37,DAM,6
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,237.52,DAM,6
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,245.33,DAM,6
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,184.37,DAM,6
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,201.41,DAM,6
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,162.85,DAM,6
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,224.86,DAM,7
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,167.78,DAM,7
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,295.49,DAM,7
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,288.14,DAM,7
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,246.86,DAM,7
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,193.99,DAM,7
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,270.5,DAM,7
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1420.17,DAM,8
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1860.65,DAM,8
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2049.76,DAM,8
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1623.65,DAM,8
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2598.55,DAM,8
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2469.33,DAM,8
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2261.8,DAM,8
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,51.26,DAM,9
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,28.65,DAM,9
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,36.63,DAM,9
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,57.64,DAM,9
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,33.02,DAM,9
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,40.36,DAM,9
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,44.11,DAM,9
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6002.42,DAM,10
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7043.26,DAM,10
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7455.87,DAM,10
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7487.21,DAM,10
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6431.84,DAM,10
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6834.55,DAM,10
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7294.61,DAM,10
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,34567.49,DAM,11
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,37075.8,DAM,11
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,37407.83,DAM,11
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,35903.3,DAM,11
