TIME,DAM_MW
2021-03-19 00:00:00,259.56
2021-03-19 01:00:00,250.65
2021-03-19 02:00:00,245.16
2021-03-19 03:00:00,244.78
2021-03-19 04:00:00,250.54
2021-03-19 05:00:00,264.4
2021-03-19 06:00:00,287.47
2021-03-19 07:00:00,299.71
2021-03-19 08:00:00,299.21
2021-03-19 09:00:00,295.23
2021-03-19 10:00:00,292.94
2021-03-19 11:00:00,292.61
2021-03-19 12:00:00,292.9
2021-03-19 13:00:00,295.3
2021-03-19 14:00:00,296.15
2021-03-19 15:00:00,295.27
2021-03-19 16:00:00,296.91
2021-03-19 17:00:00,298.81
2021-03-19 18:00:00,295.85
2021-03-19 19:00:00,302.76
2021-03-19 20:00:00,304.03
2021-03-19 21:00:00,293.97
2021-03-19 22:00:00,280.47
2021-03-19 23:00:00,265.85
2021-03-20 00:00:00,250.29
2021-03-20 01:00:00,240.09
2021-03-20 02:00:00,233.52
2021-03-20 03:00:00,231.43
2021-03-20 04:00:00,233.31
2021-03-20 05:00:00,239.19
2021-03-20 06:00:00,247.39
2021-03-20 07:00:00,250.64
2021-03-20 08:00:00,253.64
2021-03-20 09:00:00,254.1
2021-03-20 10:00:00,253.99
2021-03-20 11:00:00,253.62
2021-03-20 12:00:00,252.8
2021-03-20 13:00:00,252.28
2021-03-20 14:00:00,252.41
2021-03-20 15:00:00,254.25
2021-03-20 16:00:00,258.98
2021-03-20 17:00:00,264.08
2021-03-20 18:00:00,264.02
2021-03-20 19:00:00,273.09
2021-03-20 20:00:00,275.32
2021-03-20 21:00:00,267.3
2021-03-20 22:00:00,256.69
2021-03-20 23:00:00,245.62
2021-03-21 00:00:00,234.87
2021-03-21 01:00:00,226.12
2021-03-21 02:00:00,220.78
2021-03-21 03:00:00,218.74
2021-03-21 04:00:00,219.87
2021-03-21 05:00:00,223.24
2021-03-21 06:00:00,227.82
2021-03-21 07:00:00,227.31
2021-03-21 08:00:00,228.67
2021-03-21 09:00:00,227.99
2021-03-21 10:00:00,227.58
2021-03-21 11:00:00,227.99
2021-03-21 12:00:00,228.98
2021-03-21 13:00:00,230.01
2021-03-21 14:00:00,231.8
2021-03-21 15:00:00,237.25
2021-03-21 16:00:00,246.95
2021-03-21 17:00:00,259.93
2021-03-21 18:00:00,264.55
