TIME,ACTUAL_MW,DAM_MW,2DA_MW,TEMP_F
2021-03-20 00:00:00,255.0,250.29,249.82,50.0
2021-03-20 01:00:00,248.0,240.09,239.51,48.02
2021-03-20 02:00:00,243.0,233.52,232.88,44.06
2021-03-20 03:00:00,242.0,231.43,230.74,42.08
2021-03-20 04:00:00,245.0,233.31,232.54,42.08
2021-03-20 05:00:00,253.0,239.19,238.41,42.980000000000004
2021-03-20 06:00:00,263.0,247.39,246.54,42.08
2021-03-20 07:00:00,266.0,250.64,249.85,41.0
2021-03-20 08:00:00,263.0,253.64,253.07,42.980000000000004
2021-03-20 09:00:00,253.0,254.1,253.8,48.92
2021-03-20 10:00:00,243.0,253.99,254.0,51.98
2021-03-20 11:00:00,237.0,253.62,253.79,53.96
2021-03-20 12:00:00,229.0,252.8,253.26,55.94
2021-03-20 13:00:00,224.0,252.28,253.13,57.92
2021-03-20 14:00:00,222.0,252.41,253.44,60.08
2021-03-20 15:00:00,224.0,254.25,255.22,60.980000000000004
2021-03-20 16:00:00,230.0,258.98,259.98,60.980000000000004
2021-03-20 17:00:00,241.0,264.08,264.84,60.980000000000004
2021-03-20 18:00:00,256.0,264.02,264.37,59.0
2021-03-20 19:00:00,270.0,273.09,273.26,55.94
2021-03-20 20:00:00,273.0,275.32,275.52,51.08
2021-03-20 21:00:00,270.0,267.3,267.35,48.02
2021-03-20 22:00:00,259.0,256.69,256.64,48.92
2021-03-20 23:00:00,247.0,245.62,245.56,48.92
2021-03-21 00:00:00,236.0,234.87,234.41,46.04
2021-03-21 01:00:00,229.0,226.12,225.58,44.06
2021-03-21 02:00:00,226.0,220.78,220.16,42.980000000000004
2021-03-21 03:00:00,226.0,218.74,218.09,41.0
2021-03-21 04:00:00,227.0,219.87,219.17,37.94
2021-03-21 05:00:00,231.0,223.24,222.5,37.04
2021-03-21 06:00:00,238.0,227.82,227.16,37.94
2021-03-21 07:00:00,239.0,227.31,226.63,37.94
2021-03-21 08:00:00,234.0,228.67,228.08,42.08
2021-03-21 09:00:00,226.0,227.99,227.61,46.94
2021-03-21 10:00:00,220.0,227.58,227.35,50.0
2021-03-21 11:00:00,214.0,227.99,227.85,53.96
2021-03-21 12:00:00,209.0,228.98,229.1,57.92
2021-03-21 13:00:00,205.0,230.01,230.45,60.08
2021-03-21 14:00:00,205.0,231.8,232.38,62.959999999999994
2021-03-21 15:00:00,209.0,237.25,237.06,64.04
2021-03-21 16:00:00,219.0,246.95,246.64,66.02
2021-03-21 17:00:00,235.0,259.93,259.51,66.02
2021-03-21 18:00:00,251.0,264.55,264.58,64.94
2021-03-21 19:00:00,269.0,275.94,273.77,59.0
2021-03-21 20:00:00,276.0,279.44,278.71,59.0
2021-03-21 21:00:00,270.0,271.34,271.28,51.98
2021-03-21 22:00:00,259.0,259.6,259.48,48.92
2021-03-21 23:00:00,251.0,247.47,247.37,46.94
2021-03-22 00:00:00,244.0,235.81,235.61,46.94
2021-03-22 01:00:00,240.0,229.17,228.88,42.980000000000004
2021-03-22 02:00:00,239.0,225.26,224.95,41.0
2021-03-22 03:00:00,241.0,226.27,225.94,37.94
2021-03-22 04:00:00,252.0,233.41,233.07,37.94
2021-03-22 05:00:00,271.0,249.58,249.21,39.02
2021-03-22 06:00:00,295.0,275.94,275.49,39.02
2021-03-22 07:00:00,311.0,291.64,291.17,37.04
2021-03-22 08:00:00,309.0,293.81,293.44,39.02
2021-03-22 09:00:00,297.0,291.63,291.48,46.04
2021-03-22 10:00:00,289.0,292.02,292.1,51.98
2021-03-22 11:00:00,285.0,293.61,293.84,55.94
2021-03-22 12:00:00,289.0,296.34,296.68,59.0
2021-03-22 13:00:00,280.0,300.16,300.59,60.980000000000004
2021-03-22 14:00:00,277.0,302.43,302.91,64.04
2021-03-22 15:00:00,276.0,302.6,303.09,64.04
2021-03-22 16:00:00,272.0,305.12,305.55,64.04
2021-03-22 17:00:00,281.0,308.08,308.43,64.94
2021-03-22 18:00:00,293.0,306.17,306.29,62.959999999999994
2021-03-22 19:00:00,306.0,314.73,314.72,60.08
2021-03-22 20:00:00,309.0,316.63,316.52,57.02
2021-03-22 21:00:00,300.0,305.61,305.35,55.94
2021-03-22 22:00:00,283.0,289.13,288.86,53.06
2021-03-22 23:00:00,270.0,273.21,273.18,51.98
2021-03-26 00:00:00,243.0,260.2,260.01,46.04
2021-03-26 01:00:00,237.0,251.66,251.4,44.96
2021-03-26 02:00:00,234.0,246.21,245.93,42.980000000000004
2021-03-26 03:00:00,237.0,245.71,245.4,42.980000000000004
2021-03-26 04:00:00,244.0,251.4,251.1,44.96
2021-03-26 05:00:00,257.0,265.19,264.89,44.06
2021-03-26 06:00:00,265.0,287.36,287.01,42.980000000000004
2021-03-26 07:00:00,278.0,299.3,298.91,41.0
2021-03-26 08:00:00,300.0,298.72,298.36,41.0
2021-03-26 09:00:00,293.0,293.66,293.31,48.02
2021-03-26 10:00:00,285.0,290.97,290.65,53.06
2021-03-26 11:00:00,279.0,289.85,289.2,57.02
2021-03-26 12:00:00,275.0,288.81,288.26,60.980000000000004
2021-03-26 13:00:00,273.0,289.92,288.59,64.94
2021-03-26 14:00:00,271.0,293.3,290.04,66.92
2021-03-26 15:00:00,269.0,294.69,291.57,69.08
2021-03-26 16:00:00,273.0,298.06,295.46,71.06
2021-03-26 17:00:00,281.0,303.51,300.17,71.06
2021-03-26 18:00:00,289.0,303.59,302.7,71.06
2021-03-26 19:00:00,296.0,308.31,307.36,66.92
2021-03-26 20:00:00,296.0,305.06,303.84,60.08
2021-03-26 21:00:00,287.0,293.05,292.83,57.02
2021-03-26 22:00:00,273.0,279.89,279.4,50.0
2021-03-26 23:00:00,260.0,265.39,265.07,48.02
2021-03-27 00:00:00,248.0,249.11,248.37,46.04
2021-03-27 01:00:00,239.0,238.69,237.78,39.92
2021-03-27 02:00:00,234.0,231.88,230.9,42.980000000000004
2021-03-27 03:00:00,234.0,229.31,228.3,39.02
2021-03-27 04:00:00,239.0,230.84,229.81,44.96
2021-03-27 05:00:00,246.0,236.28,235.24,39.92
2021-03-27 06:00:00,255.0,242.98,241.99,39.92
2021-03-27 07:00:00,258.0,246.69,245.71,41.0
2021-03-27 08:00:00,254.0,251.04,250.07,42.980000000000004
2021-03-27 09:00:00,247.0,251.91,251.25,53.06
2021-03-27 10:00:00,242.0,252.96,252.63,60.08
2021-03-27 11:00:00,236.0,253.41,253.3,62.959999999999994
2021-03-27 12:00:00,232.0,253.09,253.14,66.92
2021-03-27 13:00:00,231.0,252.58,252.74,69.98
2021-03-27 14:00:00,231.0,255.11,255.61,73.04
2021-03-27 15:00:00,236.0,260.39,260.29,73.94
2021-03-27 16:00:00,244.0,266.9,267.52,75.02
2021-03-27 17:00:00,256.0,275.61,275.43,75.92
2021-03-27 18:00:00,269.0,275.01,274.17,75.02
2021-03-27 19:00:00,276.0,277.92,276.9,68.0
2021-03-27 20:00:00,275.0,277.16,281.05,64.94
