TIME,2DA_MW
2021-03-20 00:00:00,249.82
2021-03-20 01:00:00,239.51
2021-03-20 02:00:00,232.88
2021-03-20 03:00:00,230.74
2021-03-20 04:00:00,232.54
2021-03-20 05:00:00,238.41
2021-03-20 06:00:00,246.54
2021-03-20 07:00:00,249.85
2021-03-20 08:00:00,253.07
2021-03-20 09:00:00,253.8
2021-03-20 10:00:00,254.0
2021-03-20 11:00:00,253.79
2021-03-20 12:00:00,253.26
2021-03-20 13:00:00,253.13
2021-03-20 14:00:00,253.44
2021-03-20 15:00:00,255.22
2021-03-20 16:00:00,259.98
2021-03-20 17:00:00,264.84
2021-03-20 18:00:00,264.37
2021-03-20 19:00:00,273.26
2021-03-20 20:00:00,275.52
2021-03-20 21:00:00,267.35
2021-03-20 22:00:00,256.64
2021-03-20 23:00:00,245.56
2021-03-21 00:00:00,234.41
2021-03-21 01:00:00,225.58
2021-03-21 02:00:00,220.16
2021-03-21 03:00:00,218.09
2021-03-21 04:00:00,219.17
2021-03-21 05:00:00,222.5
2021-03-21 06:00:00,227.16
2021-03-21 07:00:00,226.63
2021-03-21 08:00:00,228.08
2021-03-21 09:00:00,227.61
2021-03-21 10:00:00,227.35
2021-03-21 11:00:00,227.85
2021-03-21 12:00:00,229.1
2021-03-21 13:00:00,230.45
2021-03-21 14:00:00,232.38
2021-03-21 15:00:00,237.06
2021-03-21 16:00:00,246.64
2021-03-21 17:00:00,259.51
2021-03-21 18:00:00,264.58
2021-03-21 19:00:00,273.77
2021-03-21 20:00:00,278.71
2021-03-21 21:00:00,271.28
2021-03-21 22:00:00,259.48
2021-03-21 23:00:00,247.37
2021-03-22 00:00:00,235.61
2021-03-22 01:00:00,228.88
2021-03-22 02:00:00,224.95
2021-03-22 03:00:00,225.94
2021-03-22 04:00:00,233.07
2021-03-22 05:00:00,249.21
2021-03-22 06:00:00,275.49
2021-03-22 07:00:00,291.17
2021-03-22 08:00:00,293.44
2021-03-22 09:00:00,291.48
2021-03-22 10:00:00,292.1
2021-03-22 11:00:00,293.84
2021-03-22 12:00:00,296.68
2021-03-22 13:00:00,300.59
2021-03-22 14:00:00,302.91
2021-03-22 15:00:00,303.09
2021-03-22 16:00:00,305.55
2021-03-22 17:00:00,308.43
2021-03-22 18:00:00,306.29
2021-03-22 19:00:00,314.72
2021-03-22 20:00:00,316.52
2021-03-22 21:00:00,305.35
2021-03-22 22:00:00,288.86
2021-03-22 23:00:00,273.18
2021-03-23 00:00:00,258.35
2021-03-23 01:00:00,250.31
2021-03-23 02:00:00,245.61
2021-03-23 03:00:00,246.07
2021-03-23 04:00:00,252.31
2021-03-23 05:00:00,267.57
2021-03-23 06:00:00,291.8
2021-03-23 07:00:00,303.95
2021-03-23 08:00:00,302.76
2021-03-23 09:00:00,298.16
2021-03-23 10:00:00,294.94
2021-03-23 11:00:00,293.99
2021-03-23 12:00:00,294.73
2021-03-23 13:00:00,296.61
2021-03-23 14:00:00,299.38
2021-03-23 15:00:00,303.25
2021-03-23 16:00:00,307.56
2021-03-23 17:00:00,314.49
2021-03-23 18:00:00,314.8
2021-03-23 19:00:00,323.32
2021-03-23 20:00:00,320.79
2021-03-23 21:00:00,307.53
2021-03-23 22:00:00,290.73
2021-03-23 23:00:00,274.01
2021-03-26 00:00:00,260.01
2021-03-26 01:00:00,251.4
2021-03-26 02:00:00,245.93
2021-03-26 03:00:00,245.4
2021-03-26 04:00:00,251.1
2021-03-26 05:00:00,264.89
2021-03-26 06:00:00,287.01
2021-03-26 07:00:00,298.91
2021-03-26 08:00:00,298.36
2021-03-26 09:00:00,293.31
2021-03-26 10:00:00,290.65
2021-03-26 11:00:00,289.2
2021-03-26 12:00:00,288.26
2021-03-26 13:00:00,288.59
2021-03-26 14:00:00,290.04
2021-03-26 15:00:00,291.57
2021-03-26 16:00:00,295.46
2021-03-26 17:00:00,300.17
2021-03-26 18:00:00,302.7
2021-03-26 19:00:00,307.36
2021-03-26 20:00:00,303.84
2021-03-26 21:00:00,292.83
2021-03-26 22:00:00,279.4
2021-03-26 23:00:00,265.07
2021-03-27 00:00:00,248.37
2021-03-27 01:00:00,237.78
2021-03-27 02:00:00,230.9
2021-03-27 03:00:00,228.3
2021-03-27 04:00:00,229.81
2021-03-27 05:00:00,235.24
2021-03-27 06:00:00,241.99
2021-03-27 07:00:00,245.71
2021-03-27 08:00:00,250.07
2021-03-27 09:00:00,251.25
2021-03-27 10:00:00,252.63
2021-03-27 11:00:00,253.3
2021-03-27 12:00:00,253.14
2021-03-27 13:00:00,252.74
2021-03-27 14:00:00,255.61
2021-03-27 15:00:00,260.29
2021-03-27 16:00:00,267.52
2021-03-27 17:00:00,275.43
2021-03-27 18:00:00,274.17
2021-03-27 19:00:00,276.9
2021-03-27 20:00:00,281.05
2021-03-27 21:00:00,266.76
2021-03-27 22:00:00,256.61
2021-03-27 23:00:00,245.46
2021-03-28 00:00:00,231.71
2021-03-28 01:00:00,222.19
2021-03-28 02:00:00,216.39
2021-03-28 03:00:00,213.54
2021-03-28 04:00:00,214.11
2021-03-28 05:00:00,216.98
2021-03-28 06:00:00,219.91
2021-03-28 07:00:00,220.44
2021-03-28 08:00:00,223.96
2021-03-28 09:00:00,225.12
2021-03-28 10:00:00,227.78
2021-03-28 11:00:00,230.72
2021-03-28 12:00:00,233.99
2021-03-28 13:00:00,236.83
2021-03-28 14:00:00,243.12
2021-03-28 15:00:00,252.11
2021-03-28 16:00:00,261.56
2021-03-28 17:00:00,275.81
2021-03-28 18:00:00,277.7
2021-03-28 19:00:00,287.01
2021-03-28 20:00:00,296.71
2021-03-28 21:00:00,280.7
2021-03-28 22:00:00,261.9
2021-03-28 23:00:00,248.4
2021-03-29 00:00:00,237.34
2021-03-29 01:00:00,230.25
2021-03-29 02:00:00,225.86
2021-03-29 03:00:00,226.21
2021-03-29 04:00:00,232.75
2021-03-29 05:00:00,248.26
2021-03-29 06:00:00,272.39
2021-03-29 07:00:00,289.17
2021-03-29 08:00:00,292.82
2021-03-29 09:00:00,291.69
2021-03-29 10:00:00,293.74
2021-03-29 11:00:00,296.65
2021-03-29 12:00:00,299.96
2021-03-29 13:00:00,303.57
2021-03-29 14:00:00,306.02
2021-03-29 15:00:00,305.74
2021-03-29 16:00:00,310.07
2021-03-29 17:00:00,315.17
2021-03-29 18:00:00,318.87
2021-03-29 19:00:00,323.56
2021-03-29 20:00:00,321.92
2021-03-29 21:00:00,309.97
2021-03-29 22:00:00,290.65
2021-03-29 23:00:00,274.05
2021-03-30 00:00:00,256.17
2021-03-30 01:00:00,247.55
2021-03-30 02:00:00,242.84
